Row Id,Id,Title,Published At,E Tag,Kind,Channel Title,Type,Group Id,Batch Id,Batch Date
34,com.domo.connector.youtube.vo.Id@6b9d2aad,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/cq0fMtBKohI2HBY1VlwNBqVsp6g""",youtube#activity,AironGroup,like,\N,12,2016-12-31T14:36:06
35,com.domo.connector.youtube.vo.Id@cccfb52,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/VUC4AcMlHVqnKfhFUrgxIDSwIUM""",youtube#activity,Solar Danmark A/S,like,\N,12,2016-12-31T14:36:06
36,com.domo.connector.youtube.vo.Id@60cd9cf1,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/wq-bKt6lTSg3rw-AYah_qFZ6r4E""",youtube#activity,erocafuerte2010,like,\N,12,2016-12-31T14:36:06
37,com.domo.connector.youtube.vo.Id@a8878c9,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/vfcJN_dQaeVByehb10GABl40F2M""",youtube#activity,AironGroup,like,\N,13,2017-01-01T14:36:06
38,com.domo.connector.youtube.vo.Id@67d0051,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/pUPLGI7H_cQHi7qRg5fxbbXR868""",youtube#activity,Solar Danmark A/S,like,\N,13,2017-01-01T14:36:06
39,com.domo.connector.youtube.vo.Id@474a8ba5,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/ZQZyVqAxdxKqrgB9S2Dao2k7oBA""",youtube#activity,erocafuerte2010,like,\N,13,2017-01-01T14:36:06
40,com.domo.connector.youtube.vo.Id@33dcca71,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/gUOqSeQNieMOXplApG9W6Ykk780""",youtube#activity,AironGroup,like,\N,14,2017-01-02T14:36:05
41,com.domo.connector.youtube.vo.Id@232276e4,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/eAFpcb4NNPDtaPgO1zxVyLGjmuk""",youtube#activity,Solar Danmark A/S,like,\N,14,2017-01-02T14:36:05
42,com.domo.connector.youtube.vo.Id@38e0fe27,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/GC1cRrP3L_OQhjebP7G2FDr_R2I""",youtube#activity,erocafuerte2010,like,\N,14,2017-01-02T14:36:05
43,com.domo.connector.youtube.vo.Id@1eb1145,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/KKc8iGGmldpIBvl_H1kek2_9hTk""",youtube#activity,AironGroup,like,\N,15,2017-01-03T14:36:07
44,com.domo.connector.youtube.vo.Id@71a00116,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/SkGM0uy27tiyn_DlLq5jvdf0fqY""",youtube#activity,Solar Danmark A/S,like,\N,15,2017-01-03T14:36:07
45,com.domo.connector.youtube.vo.Id@41ddbc75,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/hE6okJXR9UsuMF2fOu43-uDRm_Y""",youtube#activity,erocafuerte2010,like,\N,15,2017-01-03T14:36:07
46,com.domo.connector.youtube.vo.Id@38e0fe27,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/UYOvsscNX1GnQDRdKkScs8QU9so""",youtube#activity,AironGroup,like,\N,16,2017-01-04T14:36:07
47,com.domo.connector.youtube.vo.Id@31f19584,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/Nlu4wX7cboVkg3mIvakTdCiFkYI""",youtube#activity,Solar Danmark A/S,like,\N,16,2017-01-04T14:36:07
48,com.domo.connector.youtube.vo.Id@64ab4e89,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/mzMLvobj_PJb4OUJUpNCN1MTQ2Q""",youtube#activity,erocafuerte2010,like,\N,16,2017-01-04T14:36:07
49,com.domo.connector.youtube.vo.Id@48713ee,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/rhdnU1Ika_htCweLel3ggbrfapg""",youtube#activity,AironGroup,like,\N,17,2017-01-05T14:36:07
50,com.domo.connector.youtube.vo.Id@4d3e0941,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/UdaQPpNbdqa0FobXqSbWAzfrzjQ""",youtube#activity,Solar Danmark A/S,like,\N,17,2017-01-05T14:36:07
51,com.domo.connector.youtube.vo.Id@4f755c54,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/0FGNBlxRevYjlLO0pXvOBopIQ4c""",youtube#activity,erocafuerte2010,like,\N,17,2017-01-05T14:36:07
52,com.domo.connector.youtube.vo.Id@6b9d2aad,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/gXiEvo8G79ROIvwdJ36gAuA7Zz8""",youtube#activity,AironGroup,like,\N,18,2017-01-06T14:36:07
53,com.domo.connector.youtube.vo.Id@cccfb52,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/SzRdcn8GnXyB_y-oy2428hw2Tr0""",youtube#activity,Solar Danmark A/S,like,\N,18,2017-01-06T14:36:07
54,com.domo.connector.youtube.vo.Id@60cd9cf1,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/HhBKla3Fn4xTrMLuKPhGJVB54ts""",youtube#activity,erocafuerte2010,like,\N,18,2017-01-06T14:36:07
55,com.domo.connector.youtube.vo.Id@a8878c9,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/171pyXHFaZycQI4nwQoB11Hy6lc""",youtube#activity,AironGroup,like,\N,19,2017-01-07T14:36:08
56,com.domo.connector.youtube.vo.Id@67d0051,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/0HC-O2FqAhhxuQzIqn-dxzvKkuo""",youtube#activity,Solar Danmark A/S,like,\N,19,2017-01-07T14:36:08
57,com.domo.connector.youtube.vo.Id@474a8ba5,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/2XOCGOfX3BiOnwClyoY4mX0ABoE""",youtube#activity,erocafuerte2010,like,\N,19,2017-01-07T14:36:08
58,com.domo.connector.youtube.vo.Id@60cd9cf1,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/rnOHPqMYwTIexpXwE8WH1YRepSg""",youtube#activity,AironGroup,like,\N,20,2017-01-08T14:36:05
59,com.domo.connector.youtube.vo.Id@2512c081,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/XWQ_aMtzX5gXVSgHtqHXGyLb1e0""",youtube#activity,Solar Danmark A/S,like,\N,20,2017-01-08T14:36:05
60,com.domo.connector.youtube.vo.Id@27584ecc,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/hzbTvgguFADzuei2wuoLc0u2HLc""",youtube#activity,erocafuerte2010,like,\N,20,2017-01-08T14:36:05
61,com.domo.connector.youtube.vo.Id@38e0fe27,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/4bgnRJFJl0M0pp3FM91Abp7wAIg""",youtube#activity,AironGroup,like,\N,21,2017-01-09T14:36:05
62,com.domo.connector.youtube.vo.Id@31f19584,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/x6rGVm5Ke-sZEg_ZbsdZh5IY0Og""",youtube#activity,Solar Danmark A/S,like,\N,21,2017-01-09T14:36:05
63,com.domo.connector.youtube.vo.Id@64ab4e89,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/mPIBrCaSWvnIEI9v3b9zO4OnpOc""",youtube#activity,erocafuerte2010,like,\N,21,2017-01-09T14:36:05
64,com.domo.connector.youtube.vo.Id@1eb1145,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/hIyQZeuTm8bmljX-7Idi24WEjBI""",youtube#activity,AironGroup,like,\N,22,2017-01-10T14:36:08
65,com.domo.connector.youtube.vo.Id@71a00116,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/-xICuiY28MjoGfGCio6gTQnCV1A""",youtube#activity,Solar Danmark A/S,like,\N,22,2017-01-10T14:36:08
66,com.domo.connector.youtube.vo.Id@41ddbc75,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/nOexaG-TKepJIWT16VqriDYOooE""",youtube#activity,erocafuerte2010,like,\N,22,2017-01-10T14:36:08
67,com.domo.connector.youtube.vo.Id@ccc4e8c,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/axgl096BKglROzKT3sJApUj2aJQ""",youtube#activity,AironGroup,like,\N,23,2017-01-11T14:36:05
68,com.domo.connector.youtube.vo.Id@3a3da7e3,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/dMpbGzITW1_uJ3le5QizudG_KOk""",youtube#activity,Solar Danmark A/S,like,\N,23,2017-01-11T14:36:05
69,com.domo.connector.youtube.vo.Id@77391298,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/BWtiu7vDSmk6VHCPJ0S8M9oUMB0""",youtube#activity,erocafuerte2010,like,\N,23,2017-01-11T14:36:05
70,com.domo.connector.youtube.vo.Id@26765eeb,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/i8h_3bFiCTWhieL4QGeTFbaM-P8""",youtube#activity,AironGroup,like,\N,24,2017-01-12T14:36:08
71,com.domo.connector.youtube.vo.Id@60827dff,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/seHDawIWHu8ptDJvRn7VgBEu-54""",youtube#activity,Solar Danmark A/S,like,\N,24,2017-01-12T14:36:08
72,com.domo.connector.youtube.vo.Id@52ebfc53,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/e_Z0B7j0Nj3kmcOg_iqcRLHCaG8""",youtube#activity,erocafuerte2010,like,\N,24,2017-01-12T14:36:08
73,com.domo.connector.youtube.vo.Id@5baa5aea,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/Sfce36R53viaGV2zTMACbTezLHQ""",youtube#activity,AironGroup,like,\N,25,2017-01-13T14:36:05
74,com.domo.connector.youtube.vo.Id@33f5c3b8,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/KFuFIp8tPt1TEEsfwac4IycpRT8""",youtube#activity,Solar Danmark A/S,like,\N,25,2017-01-13T14:36:05
75,com.domo.connector.youtube.vo.Id@22161493,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/tw0zeKImdkwMApeZhz4FOX8_FFw""",youtube#activity,erocafuerte2010,like,\N,25,2017-01-13T14:36:05
76,com.domo.connector.youtube.vo.Id@26765eeb,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/_TUb70PqDx4EPRsvB-nwSdv8IIs""",youtube#activity,AironGroup,like,\N,26,2017-01-14T14:36:06
77,com.domo.connector.youtube.vo.Id@60827dff,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/XUrDQ63fmRqjccJ4XP23TxI-aao""",youtube#activity,Solar Danmark A/S,like,\N,26,2017-01-14T14:36:06
78,com.domo.connector.youtube.vo.Id@52ebfc53,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/bgrONNFf_FEQM3u7NzJZCWq0KrU""",youtube#activity,erocafuerte2010,like,\N,26,2017-01-14T14:36:06
79,com.domo.connector.youtube.vo.Id@33f5c3b8,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/7cHLysv8DKV4EPywkigtK0O19oA""",youtube#activity,AironGroup,like,\N,27,2017-01-15T14:36:06
80,com.domo.connector.youtube.vo.Id@22161493,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/tLhi5dF6OZ9VJk2PZ428E82NHb4""",youtube#activity,Solar Danmark A/S,like,\N,27,2017-01-15T14:36:06
81,com.domo.connector.youtube.vo.Id@6636200f,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/xN_aEhRmAWXd1YICzAX2WY3zYkM""",youtube#activity,erocafuerte2010,like,\N,27,2017-01-15T14:36:06
82,com.domo.connector.youtube.vo.Id@4440048a,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/2CLV0iFlhY-gdImI3UBcW7grzQ4""",youtube#activity,AironGroup,like,\N,28,2017-01-16T14:35:48
83,com.domo.connector.youtube.vo.Id@5baa5aea,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/_7xfI4f3z1XdBRlm2i8cIRqx5So""",youtube#activity,Solar Danmark A/S,like,\N,28,2017-01-16T14:35:48
84,com.domo.connector.youtube.vo.Id@33f5c3b8,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/iUWGY9I-Jh7SvYqBuXVo7toynow""",youtube#activity,erocafuerte2010,like,\N,28,2017-01-16T14:35:48
85,com.domo.connector.youtube.vo.Id@5d699376,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/YF8H1GgWFA-RGrS6PmjeO9vr-Yk""",youtube#activity,AironGroup,like,\N,29,2017-01-17T14:36:06
86,com.domo.connector.youtube.vo.Id@4440048a,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/jn11UHk0gnAY43U8AcPqMC6szn8""",youtube#activity,Solar Danmark A/S,like,\N,29,2017-01-17T14:36:06
87,com.domo.connector.youtube.vo.Id@5baa5aea,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/TDzQzeGtI0NBk2T9Hh_gkJhmywM""",youtube#activity,erocafuerte2010,like,\N,29,2017-01-17T14:36:06
88,com.domo.connector.youtube.vo.Id@ccc4e8c,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/te4dHMEFUlBavKze-_JWoAfLnfM""",youtube#activity,AironGroup,like,\N,30,2017-01-18T14:36:07
89,com.domo.connector.youtube.vo.Id@3a3da7e3,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/FvGZvnYNeWTE16lYED_lk-7KYhE""",youtube#activity,Solar Danmark A/S,like,\N,30,2017-01-18T14:36:07
90,com.domo.connector.youtube.vo.Id@77391298,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/gxFnD7gE7dcYl__9CkmjY3Z7xEg""",youtube#activity,erocafuerte2010,like,\N,30,2017-01-18T14:36:07
